drugbank_id	lincs_id
DB01092	LSM-1740
DB01092	LSM-2781
DB01092	LSM-36355
DB01093	LSM-36361
DB01094	LSM-20933
DB01094	LSM-6444
DB01096	LSM-6378
DB01097	LSM-3771
DB01099	LSM-5878
DB01100	LSM-2001
DB01101	LSM-45531
DB01101	LSM-5705
DB01103	LSM-1577
DB01104	LSM-3843
DB01104	LSM-45979
DB01104	LSM-5673
DB01105	LSM-5000
DB01106	LSM-2731
DB01110	LSM-5165
DB01112	LSM-44947
DB01112	LSM-45094
DB01112	LSM-5500
DB01113	LSM-2338
DB01114	LSM-1263
DB01114	LSM-4008
DB01114	LSM-5517
DB01115	LSM-4176
DB01118	LSM-2379
DB01119	LSM-3639
DB01120	LSM-5096
DB01121	LSM-19006
DB01124	LSM-3907
DB01126	LSM-45861
DB01127	LSM-1617
DB01128	LSM-1437
DB01129	LSM-5045
DB01130	LSM-3017
DB01130	LSM-5993
DB01131	LSM-2618
DB01132	LSM-1592
DB01133	LSM-45491
DB01136	LSM-1310
DB01137	LSM-4370
DB01137	LSM-5270
DB01138	LSM-1491
DB01140	LSM-5722
DB01140	LSM-6468
DB01142	LSM-2803
DB01142	LSM-42947
DB01142	LSM-42948
DB01143	LSM-4721
DB01144	LSM-3602
DB01146	LSM-5385
DB01147	LSM-15183
DB01147	LSM-5392
DB01148	LSM-3050
DB01149	LSM-4031
DB01150	LSM-43968
DB01151	LSM-3351
DB01153	LSM-1938
DB01154	LSM-4367
DB01156	LSM-1267
DB01158	LSM-5607
