drugbank_id	lipidmaps_id
DB14543	LMST02030128
DB14545	LMST02030126
DB14570	LMST02030161
DB14589	LMFA05000089
DB14589	LMFA05000548
DB14589	LMFA05000552
DB14657	LMST02030123
DB14665	LMPR0102120014
DB14665	LMPR0102120020
DB14681	LMST02030090
DB14705	LMSP02030016
DB14706	LMSP02020008
DB14737	LMPK13120002
DB14936	LMPR02030001
DB15026	LMFA01120003
DB15111	LMFA01010002
DB15201	LMPR01070209
DB15289	LMPR0102090008
DB15334	LMPK12050229
DB15335	LMPK12050037
DB15344	LMFA01050396
DB15394	LMPR02020065
DB15458	LMFA01100042
DB15557	LMST03020366
DB15557	LMST03020368
DB15571	LMFA03070007
DB15571	LMFA03070008
DB15571	LMFA03070031
DB15573	LMPR0102120012
DB15574	LMPR0102120013
DB15581	LMPK12110189
DB15584	LMPK12110006
DB15588	LMPR0106180007
DB15588	LMPR0106180012
