drugbank_id	drugcentral_id
DB05993	4568
DB06016	5037
DB06082	4568
DB06144	2435
DB06145	2471
DB06147	2527
DB06148	1796
DB06150	2501
DB06151	66
DB06152	1976
DB06153	2220
DB06154	2087
DB06155	4150
DB06159	2411
DB06160	4053
DB06174	1973
DB06176	4119
DB06185	5229
DB06193	4330
DB06196	4186
DB06200	4655
DB06201	3534
DB06202	4308
DB06203	4340
DB06204	4283
DB06206	4233
DB06207	4151
DB06209	4113
DB06210	4399
DB06211	4149
DB06212	4110
DB06213	2362
DB06216	3229
DB06216	4115
DB06217	4365
DB06218	4310
DB06228	4182
DB06230	1876
DB06233	4778
DB06237	4305
DB06243	990
DB06246	3219
DB06253	2771
DB06253	4732
DB06255	1431
DB06261	167
DB06263	202
DB06264	2703
DB06266	1598
DB06267	4141
DB06268	3548
DB06272	1638
DB06274	143
DB06282	1566
DB06282	581
DB06287	4161
DB06288	179
DB06290	4812
DB06292	4304
DB06334	4973
DB06335	4114
DB06358	4573
DB06401	4334
DB06402	4116
DB06403	4337
DB06408	3582
DB06410	957
DB06412	2033
DB06413	1826
DB06413	4501
DB06414	1115
DB06441	5006
DB06470	602
DB06479	2296
DB06480	3502
DB06523	2373
DB06535	4422
DB06548	4074
DB06582	2693
DB06586	4886
DB06589	4118
DB06590	4169
DB06594	99
DB06595	5231
DB06600	5079
DB06603	4682
DB06605	4298
DB06608	3578
DB06614	4823
DB06616	4359
DB06623	1215
DB06626	4225
DB06634	4401
DB06636	4947
DB06637	4163
DB06654	4921
DB06659	4568
DB06663	4329
DB06678	1816
DB06682	4674
DB06683	4394
DB06684	4223
DB06685	4825
DB06689	3400
DB06690	4238
DB06691	2331
DB06694	3658
DB06695	776
DB06696	235
DB06697	245
DB06698	346
DB06699	4379
DB06700	4380
DB06701	1767
DB06701	836
DB06702	4191
DB06704	1448
